Study.Accession	Reported.trait	Group	UKB.Field.ID	QC.Flag.Field.ID	type	analysis	adjustment	sex	population
GCST90497161	3-Hydroxybutyrate	Ketone bodies	23474	23774	array	Discovery		Combined	British-Central/South Asian
GCST90497173	3-Hydroxybutyrate	Ketone bodies	23474	23774	array	Discovery		Combined	British-African
GCST90497174	3-Hydroxybutyrate	Ketone bodies	23474	23774	array	Discovery		Combined	European
GCST90497170	3-Hydroxybutyrate	Ketone bodies	23474	23774	array	Discovery		Female	European
GCST90497169	3-Hydroxybutyrate	Ketone bodies	23474	23774	array	Discovery		Male	European
GCST90497160	3-Hydroxybutyrate	Ketone bodies	23474	23774	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497171	3-Hydroxybutyrate	Ketone bodies	23474	23774	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497165	3-Hydroxybutyrate	Ketone bodies	23474	23774	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90497167	3-Hydroxybutyrate	Ketone bodies	23474	23774	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497172	3-Hydroxybutyrate	Ketone bodies	23474	23774	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501101	3-Hydroxybutyrate	Ketone bodies	23474	23774	array	Meta-analysis		Combined	Combined
GCST90497163	3-Hydroxybutyrate	Ketone bodies	23474	23774	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497162	3-Hydroxybutyrate	Ketone bodies	23474	23774	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497166	3-Hydroxybutyrate	Ketone bodies	23474	23774	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497164	3-Hydroxybutyrate	Ketone bodies	23474	23774	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497168	3-Hydroxybutyrate	Ketone bodies	23474	23774	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497049	Acetate	Ketone bodies	23475	23775	array	Discovery		Combined	European
GCST90497051	Acetate	Ketone bodies	23475	23775	array	Discovery		Combined	British-African
GCST90497055	Acetate	Ketone bodies	23475	23775	array	Discovery		Combined	British-Central/South Asian
GCST90497054	Acetate	Ketone bodies	23475	23775	array	Discovery		Female	European
GCST90497046	Acetate	Ketone bodies	23475	23775	array	Discovery		Male	European
GCST90497048	Acetate	Ketone bodies	23475	23775	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497052	Acetate	Ketone bodies	23475	23775	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497053	Acetate	Ketone bodies	23475	23775	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90497056	Acetate	Ketone bodies	23475	23775	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501093	Acetate	Ketone bodies	23475	23775	array	Meta-analysis		Combined	Combined
GCST90497047	Acetate	Ketone bodies	23475	23775	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497044	Acetate	Ketone bodies	23475	23775	sequencing	exWAS	no PGS adjustment	Combined	British-African
